<DOC>	<DOC>+BDTag
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Başka	başka+ADJ
yerlerde	yer+NOUN+A3PL+PNON+LOC
süt	süt+NOUN+A3SG+PNON+NOM
,	,+PUNC
ekmekten	ekmek+NOUN+A3SG+PNON+ABL
üstün	üstün+ADJ
bir	bir+DET
gıdadır	gıda+NOUN+A3SG+PNON+NOM^DB+VERB+ZERO+PRES+COP+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Ben	ben+PRON+PERS+A1SG+PNON+NOM
siyasal	siyasal+ADJ
tavrımı	tavır+NOUN+A3SG+P1SG+ACC
ağlayarak	ağla+VERB+POS^DB+ADV+BYDOINGSO
açıkladım	açıkla+VERB+POS+PAST+A1SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Hasan	hasan+NOUN+PROP+A3SG+PNON+NOM
Şaş	şaş+VERB+POS+IMP+A2SG
,	,+PUNC
bir	bir+DET
soru	soru+NOUN+A3SG+PNON+NOM
üzerine	üzerine+ADV
,	,+PUNC
Güney	güney+NOUN+PROP+A3SG+PNON+NOM
Kore'de	kore+NOUN+PROP+A3SG+PNON+LOC
futbol	futbol+NOUN+A3SG+PNON+NOM
oynamayı	oyna+VERB+POS^DB+NOUN+INF2+A3SG+PNON+ACC
düşünmediğini	düşün+VERB+NEG^DB+NOUN+PASTPART+A3SG+P3SG+ACC
açıkladı	açıkla+VERB+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Demokrasi	demokrasi+NOUN+A3SG+PNON+NOM
bir	bir+DET
açıklık	açıklık+NOUN+A3SG+PNON+NOM
rejimidir	rejim+NOUN+A3SG+P3SG+NOM^DB+VERB+ZERO+PRES+COP+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
O	o+DET
köprünün	köprü+NOUN+A3SG+PNON+GEN
açıklığı	açıklık+NOUN+A3SG+P3SG+NOM
da	da+CONJ
hemen	hemen+ADV
hemen	hemen+ADV
aynı	aynı+ADJ
açıklıkta	açıklık+NOUN+A3SG+PNON+LOC
bizim	biz+PRON+PERS+A1PL+PNON+GEN
köprüyle	köprü+NOUN+A3SG+PNON+INS
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Aşağıdakilerin	aşağı+NOUN+A3SG+PNON+LOC^DB+ADJ+REL^DB+NOUN+ZERO+A3PL+PNON+GEN
yüz	yüz+NOUN+A3SG+PNON+NOM
ifadeleri	ifade+NOUN+A3PL+P3SG+NOM
açık	açık+ADV
seçik	seçik+NOUN+A3SG+PNON+NOM
görülüyordu	gör+VERB^DB+VERB+PASS+POS+PROG1+PAST+A3SG
artık	artık+ADV
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Damalı	damalı+ADJ
bir	bir+DET
eteklik	eteklik+NOUN+A3SG+PNON+NOM
,	,+PUNC
açık	açık+ADJ
mavi	mavi+ADJ
kapalı	kapalı+ADJ
bir	bir+DET
yün	yün+ADJ
kazak	kazak+NOUN+A3SG+PNON+NOM
giymişti	giy+VERB+POS+NARR+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
İkinci	iki+NUM+CARD^DB+NOUN+ORD+A3SG+PNON+NOM
Dünya	dünya+NOUN+PROP+A3SG+PNON+NOM
Savaşı'nda	savaş+NOUN+A3SG+P3SG+LOC
Roma	roma+NOUN+PROP+A3SG+PNON+NOM
açık	açık+ADJ
şehir	şehir+NOUN+A3SG+PNON+NOM
ilan	ilan+NOUN+A3SG+PNON+NOM
edilmişti	et+VERB^DB+VERB+PASS+POS+NARR+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Bu	bu+PRON+DEMONSP+A3SG+PNON+NOM
kadar	kadar+POSTP+PCDAT
açık	açık+ADV
sözlü	söz+NOUN+A3SG+PNON+NOM^DB+ADJ+WITH
oluşu	ol+VERB+POS^DB+NOUN+INF3+A3SG+P3SG+NOM
beni	ben+PRON+PERS+A1SG+PNON+ACC
şaşırtmıştı	şaşırt+VERB+POS+NARR+PAST+A3SG
ama	ama+CONJ
belli	belli+ADJ
etmedim	et+VERB+NEG+PAST+A1SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Gerekli	gerekli+ADJ
gördüğü	gör+VERB+POS^DB+ADJ+PASTPART+P3SG
takdirde	takdirde+POSTP+PCNOM
,	,+PUNC
yasama	yasama+NOUN+A3SG+PNON+NOM
yılının	yıl+NOUN+A3SG+P2SG+GEN
ilk	ilk+ADJ
günü	gün+NOUN+A3SG+P3SG+NOM
Türkiye	türkiye+NOUN+PROP+A3SG+PNON+NOM
Büyük	büyük+ADJ
Millet	millet+NOUN+A3SG+PNON+NOM
Meclisinde	meclis+NOUN+A3SG+P3SG+LOC
açılış	açılış+NOUN+A3SG+PNON+NOM
konuşmasını	konuş+VERB+POS^DB+NOUN+INF2+A3SG+P3SG+ACC
yapmak	yap+VERB+POS^DB+NOUN+INF+A3SG+PNON+NOM
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Arkadaşlarımdan	arkadaşlar+NOUN+A3SG+P1SG+ABL
mümkün	mümkün+ADJ
olduğu	ol+VERB+POS^DB+ADJ+PASTPART+P3SG
kadar	kadar+POSTP+PCDAT
alarga	alarga+NOUN+A3SG+PNON+NOM
yürüyor	yürü+VERB+POS+PROG1+A3SG
,	,+PUNC
kendimi	kendi+PRON+REFLEXP+A1SG+P1SG+ACC
pencerelerin	pencere+NOUN+A3PL+PNON+GEN
,	,+PUNC
kapıların	kapı+NOUN+A3PL+PNON+GEN
ışık	ışık+NOUN+A3SG+PNON+NOM
sahası	saha+NOUN+A3SG+P3SG+NOM
dışına	dış+NOUN+A3SG+P3SG+DAT
çıkarmaya	çık+VERB^DB+VERB+CAUS+POS^DB+NOUN+INF2+A3SG+PNON+DAT
uğraşıyordum	uğraş+VERB+POS+PROG1+PAST+A1SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Perdenin	perde+NOUN+A3SG+PNON+GEN
rengi	renk+NOUN+A3SG+P3SG+NOM
açıldı	aç+VERB^DB+VERB+PASS+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Resmî	resmî+ADJ
açılış	açılış+NOUN+A3SG+PNON+NOM
töreni	tören+NOUN+A3SG+P3SG+NOM
ne	ne+PRON+QUESP+A3SG+PNON+NOM
zaman	zaman+NOUN+A3SG+PNON+NOM
beyefendi	beyefendi+NOUN+A3SG+PNON+NOM
?	?+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Belki	belki+ADV
hava	hava+NOUN+A3SG+PNON+NOM
açılıyor	aç+VERB^DB+VERB+PASS+POS+PROG1+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Ateşi	ateş+NOUN+A3SG+P3SG+NOM
düşünce	düş+VERB+POS^DB+ADV+WHEN
hasta	hasta+ADJ
açıldı	aç+VERB^DB+VERB+PASS+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Hiç	hiç+ADV
kimseye	kimse+PRON+QUANTP+A3SG+P3SG+DAT
açılmayarak	aç+VERB^DB+VERB+PASS+NEG^DB+ADV+BYDOINGSO
yaşadığım	yaşa+VERB+POS^DB+ADJ+PASTPART+P1SG
bu	bu+DET
altı	altı+NUM+CARD
ay	ay+NOUN+A3SG+PNON+NOM
beni	ben+PRON+PERS+A1SG+PNON+ACC
bitirdi	bit+VERB^DB+VERB+CAUS+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Araç	araç+NOUN+A3SG+PNON+NOM
uzun	uzun+ADJ
yolda	yol+NOUN+A3SG+PNON+LOC
açıldı	aç+VERB^DB+VERB+PASS+POS+PAST+A3SG
,	,+PUNC
hızı	hız+NOUN+A3SG+P3SG+NOM
arttı	art+VERB+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Türlü	türlü+ADJ
yönlerden	yön+NOUN+A3PL+PNON+ABL
ele	el+NOUN+A3SG+PNON+DAT
alınabilecek	al+VERB^DB+VERB+PASS+POS^DB+VERB+ABLE^DB+ADJ+FUTPART+PNON
olan	ol+VERB+POS^DB+ADJ+PRESPART
bu	bu+DET
konuda	konu+NOUN+A3SG+PNON+LOC
şimdilik	şimdilik+ADV
pek	pek+ADV
yayılmak	yayıl+VERB+POS^DB+NOUN+INF+A3SG+PNON+NOM
istemiyorum	iste+VERB+NEG+PROG1+A1SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Ben	ben+PRON+PERS+A1SG+PNON+NOM
yüzerken	yüz+VERB+POS+AOR^DB+ADV+WHILE
biraz	biraz+ADV
fazla	fazla+ADV
açıldım	aç+VERB^DB+VERB+PASS+POS+PAST+A1SG
,	,+PUNC
kendimi	kendi+PRON+REFLEXP+A1SG+P1SG+ACC
Vardar'ın	vardar+NOUN+PROP+A3SG+PNON+GEN
kuvvetli	kuvvetli+ADJ
bir	bir+DET
akıntısına	akıntı+NOUN+A3SG+P3SG+DAT
kaptırdım	kaptır+VERB+POS+PAST+A1SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Açlıktan	açlık+NOUN+A3SG+PNON+ABL
gözümüz	göz+NOUN+A3SG+P1PL+NOM
dönmüştü	dön+VERB+POS+NARR+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Konileri	koni+NOUN+A3PL+P3SG+NOM
açındırırız	açındır+VERB+POS+AOR+A1PL
ama	ama+CONJ
küreyi	küre+NOUN+A3SG+PNON+ACC
açındıramayız	açındır+VERB^DB+VERB+ABLE+NEG+AOR+A1PL
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Kapıyı	kapı+NOUN+A3SG+PNON+ACC
açıp	aç+VERB+POS^DB+ADV+AFTERDOINGSO
içeri	içeri+NOUN+A3SG+PNON+NOM
giriyorum	gir+VERB+POS+PROG1+A1SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Öğrenme	öğren+VERB+POS^DB+NOUN+INF2+A3SG+PNON+NOM
konusundaki	konu+NOUN+A3SG+P3SG+LOC^DB+ADJ+REL
yorulmayan	yor+VERB^DB+VERB+PASS+NEG^DB+ADJ+PRESPART
açlığımı	açlık+NOUN+A3SG+P1SG+ACC
karşılayan	karşıla+VERB+POS^DB+ADJ+PRESPART
bir	bir+DET
okuldaydım	okul+NOUN+A3SG+PNON+LOC^DB+VERB+ZERO+PAST+A1SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Kadın	kadın+NOUN+A3SG+PNON+NOM
hamalı	hamal+NOUN+A3SG+PNON+ACC
dışarı	dışarı+ADV
çıkardı	çık+VERB^DB+VERB+CAUS+POS+PAST+A3SG
,	,+PUNC
sonra	sonra+ADV
çantasını	çanta+NOUN+A3SG+P3SG+ACC
açıp	aç+VERB+POS^DB+ADV+AFTERDOINGSO
birkaç	birkaç+DET
lira	lira+NOUN+A3SG+PNON+NOM
çıkardı	çık+VERB^DB+VERB+CAUS+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Karla	kar+NOUN+A3SG+PNON+INS
kapanan	kapan+VERB+POS^DB+ADJ+PRESPART
yolu	yol+NOUN+A3SG+P3SG+NOM
açmak	aç+VERB+POS^DB+NOUN+INF+A3SG+PNON+NOM
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Bakan	bakan+NOUN+A3SG+PNON+NOM
,	,+PUNC
tütün	tütün+NOUN+A3SG+PNON+NOM
piyasasını	piyasa+NOUN+A3SG+P3SG+ACC
açtı	aç+VERB+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Su	su+NOUN+A3SG+PNON+NOM
borusunu	boru+NOUN+A3SG+P3SG+ACC
açmak	aç+VERB+POS^DB+NOUN+INF+A3SG+PNON+NOM
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Bu	bu+DET
renk	renk+NOUN+A3SG+PNON+NOM
odayı	oda+NOUN+A3SG+PNON+ACC
açtı	aç+VERB+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Bu	bu+DET
boyayı	boya+NOUN+A3SG+PNON+ACC
biraz	biraz+ADV
daha	daha+ADV
açmalı	aç+VERB+POS+NECES+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Kollarını	kol+NOUN+A3PL+P2SG+ACC
,	,+PUNC
göğsünü	göğüs+NOUN+A3SG+P3SG+ACC
açmış	aç+VERB+POS+NARR+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Sınav	sınav+NOUN+A3SG+PNON+NOM
açmak	aç+VERB+POS^DB+NOUN+INF+A3SG+PNON+NOM
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Yerden	yer+NOUN+A3SG+PNON+ABL
bir	bir+NUM+CARD
avuç	avuç+NOUN+A3SG+PNON+NOM
saman	saman+NOUN+A3SG+PNON+NOM
aldı	al+VERB+POS+PAST+A3SG
,	,+PUNC
ellerinin	el+NOUN+A3PL+P3SG+GEN
arasında	ara+NOUN+A3SG+P3SG+LOC
bir	bir+DET
nezri	nezir+NOUN+A3SG+PNON+ACC
yerine	yer+NOUN+A3SG+P3SG+DAT
getirir	getir+VERB+POS+AOR+A3SG
gibi	gibi+POSTP+PCNOM
ovuşturup	ov+VERB+RECIP^DB+VERB+CAUS+POS^DB+ADV+AFTERDOINGSO
havaya	hava+NOUN+A3SG+PNON+DAT
üfledi	üfle+VERB+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Öğretmen	öğretmen+NOUN+A3SG+PNON+NOM
sürekli	sürekli+ADV
konuşuyor	konuş+VERB+POS+PROG1+A3SG
,	,+PUNC
öğrenciyi	öğrenci+NOUN+A3SG+PNON+ACC
açmak	aç+VERB+POS^DB+NOUN+INF+A3SG+PNON+NOM
istiyordu	iste+VERB+POS+PROG1+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Suçlular	suçlu+ADJ^DB+NOUN+ZERO+A3PL+PNON+NOM
adaletin	adalet+NOUN+A3SG+PNON+GEN
pençesinden	pençe+NOUN+A3SG+P3SG+ABL
kurtulamazlar	kurtul+VERB^DB+VERB+ABLE+NEG+AOR+A3PL
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
İki	iki+NUM+CARD
kolunu	kol+NOUN+A3SG+P3SG+ACC
da	da+CONJ
yukarı	yukarı+ADJ
kadar	kadar+POSTP+PCDAT
sıvadı	sıva+VERB+POS+PAST+A3SG
,	,+PUNC
sert	sert+ADJ
adaleli	adaleli+ADJ
kollarını	kol+NOUN+A3PL+P3PL+ACC
meydana	meydan+NOUN+A3SG+PNON+DAT
çıkardı	çık+VERB^DB+VERB+CAUS+POS+PAST+A3SG
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Bu	bu+DET
işte	iş+NOUN+A3SG+PNON+LOC
adaletsizlik	adalet+NOUN+A3SG+PNON+NOM^DB+ADJ+WITHOUT^DB+NOUN+NESS+A3SG+PNON+NOM
var	var+ADJ
.	.+PUNC
</S>	</S>+ESTag
<S>	<S>+BSTag
Yargıtay	yargıtay+NOUN+PROP+A3SG+PNON+NOM
,	,+PUNC
adliye	adliye+NOUN+A3SG+PNON+NOM
mahkemelerince	mahkeme+NOUN+A3PL+P3SG+EQU
verilen	ver+VERB^DB+VERB+PASS+POS^DB+ADJ+PRESPART
ve	ve+CONJ
kanunun	kanun+NOUN+A3SG+PNON+GEN
başka	başka+ADJ
bir	bir+DET
adli	adli+ADJ
yargı	yargı+NOUN+A3SG+PNON+NOM
mercisine	merci+NOUN+A3SG+P3SG+DAT
bırakmadığı	bırak+VERB+NEG^DB+ADJ+PASTPART+P3SG
karar	karar+NOUN+A3SG+PNON+NOM
ve	ve+CONJ
hükümlerin	hüküm+NOUN+A3PL+PNON+GEN
son	son+ADJ
inceleme	incele+VERB+POS^DB+NOUN+INF2+A3SG+PNON+NOM
mercisidir	merci+NOUN+A3SG+P3SG+NOM^DB+VERB+ZERO+PRES+COP+A3SG
.	.+PUNC
</S>	</S>+ESTag
</DOC>	</DOC>+EDTag
